Country,Product,Units Sold,Revenue,Cost,Profit,Date
Philippines, Fortune Cookie ,2992,2992,598,2394,10/1/2019
Philippines, Oatmeal Raisin ,2966,14830,6525,8305,10/1/2019
Philippines, Oatmeal Raisin ,1159,5795,2550,3245,10/1/2019
Philippines, Oatmeal Raisin ,994,4970,2187,2783,9/1/2019
Philippines, Oatmeal Raisin ,970,4850,2134,2716,11/1/2019
Philippines, Oatmeal Raisin ,1770,8850,3894,4956,12/1/2019
Philippines, Snickerdoodle ,766,3064,1149,1915,10/1/2019
Philippines, Snickerdoodle ,214,856,321,535,10/1/2019
Philippines, Snickerdoodle ,1016,4064,1524,2540,11/1/2019
Philippines, Snickerdoodle ,887,3548,1331,2218,12/1/2019
Philippines, Snickerdoodle ,442,1768,663,1105,9/1/2019
Philippines, Sugar ,214,642,268,375,10/1/2019
Philippines, Sugar ,1945,5835,2431,3404,10/1/2019
Philippines, Sugar ,2297,6891,2871,4020,11/1/2019
Philippines, Sugar ,2215,6645,2769,3876,9/1/2019
Philippines, Sugar ,1870,5610,2338,3273,12/1/2019
Philippines, White Chocolate Macadamia Nut ,2966,17796,8157,9640,10/1/2019
Philippines, White Chocolate Macadamia Nut ,809,4854,2225,2629,10/1/2019
Philippines, White Chocolate Macadamia Nut ,588,3528,1617,1911,12/1/2019
Philippines, White Chocolate Macadamia Nut ,660,3960,1815,2145,9/1/2019
Philippines, White Chocolate Macadamia Nut ,2536,15216,6974,8242,11/1/2019
Malaysia, Chocolate Chip ,788,3940,1576,2364,9/1/2019
Malaysia, Chocolate Chip ,2145,10725,4290,6435,10/1/2019
Malaysia, Chocolate Chip ,1760,8800,3520,5280,9/1/2019
Malaysia, Chocolate Chip ,1514,7570,3028,4542,10/1/2019
Malaysia, Chocolate Chip ,2763,13815,5526,8289,11/1/2019
Malaysia, Chocolate Chip ,1946,9730,3892,5838,12/1/2019
Malaysia, Chocolate Chip ,367,1835,734,1101,10/1/2019
Malaysia, Chocolate Chip ,1715,8575,3430,5145,10/1/2019
Malaysia, Chocolate Chip ,380,1900,760,1140,12/1/2019
Malaysia, Chocolate Chip ,2151,10755,4302,6453,11/1/2019
Malaysia, Fortune Cookie ,1660,1660,332,1328,11/1/2019
Malaysia, Fortune Cookie ,720,720,144,576,9/1/2019
Malaysia, Fortune Cookie ,1100,1100,220,880,12/1/2019
Malaysia, Fortune Cookie ,1715,1715,343,1372,10/1/2019
Malaysia, Fortune Cookie ,1727,1727,345,1382,10/1/2019
Malaysia, Oatmeal Raisin ,1375,6875,3025,3850,12/1/2019
Malaysia, Oatmeal Raisin ,947,4735,2083,2652,9/1/2019
Malaysia, Oatmeal Raisin ,344,1720,757,963,10/1/2019
Malaysia, Oatmeal Raisin ,1727,8635,3799,4836,10/1/2019
Malaysia, Oatmeal Raisin ,1870,9350,4114,5236,11/1/2019
Malaysia, Snickerdoodle ,494,1976,741,1235,10/1/2019
Malaysia, Snickerdoodle ,1834,7336,2751,4585,9/1/2019
Malaysia, Snickerdoodle ,367,1468,551,918,10/1/2019
Malaysia, Snickerdoodle ,2706,10824,4059,6765,11/1/2019
Malaysia, Snickerdoodle ,2821,11284,4232,7053,12/1/2019
Malaysia, Sugar ,494,1482,618,865,10/1/2019
Malaysia, Sugar ,1940,5820,2425,3395,12/1/2019
Malaysia, Sugar ,1514,4542,1893,2650,10/1/2019
Malaysia, Sugar ,1123,3369,1404,1965,11/1/2019
Malaysia, Sugar ,1005,3015,1256,1759,9/1/2019
Malaysia, White Chocolate Macadamia Nut ,2145,12870,5899,6971,10/1/2019
Malaysia, White Chocolate Macadamia Nut ,544,3264,1496,1768,12/1/2019
Malaysia, White Chocolate Macadamia Nut ,655,3930,1801,2129,9/1/2019
Malaysia, White Chocolate Macadamia Nut ,344,2064,946,1118,10/1/2019
Malaysia, White Chocolate Macadamia Nut ,2605,15630,7164,8466,11/1/2019
United States, Chocolate Chip ,912,4560,1824,2736,11/1/2019
United States, Chocolate Chip ,1925,9625,3850,5775,12/1/2019
United States, Chocolate Chip ,2013,10065,4026,6039,12/1/2019
United States, Chocolate Chip ,671,3355,1342,2013,10/1/2019
United States, Chocolate Chip ,727,3635,1454,2181,10/1/2019
United States, Chocolate Chip ,2931,14655,5862,8793,9/1/2019
United States, Chocolate Chip ,386,1930,772,1158,10/1/2019
United States, Chocolate Chip ,380,1900,760,1140,9/1/2019
United States, Chocolate Chip ,267,1335,534,801,10/1/2019
United States, Chocolate Chip ,2007,10035,4014,6021,11/1/2019
United States, Fortune Cookie ,2498,2498,500,1998,9/1/2019
United States, Fortune Cookie ,663,663,133,530,10/1/2019
United States, Fortune Cookie ,1804,1804,361,1443,11/1/2019
United States, Fortune Cookie ,2996,2996,599,2397,10/1/2019
United States, Oatmeal Raisin ,1989,9945,4376,5569,9/1/2019
United States, Oatmeal Raisin ,671,3355,1476,1879,10/1/2019
United States, Oatmeal Raisin ,727,3635,1599,2036,10/1/2019
United States, Oatmeal Raisin ,2548,12740,5606,7134,11/1/2019
United States, Oatmeal Raisin ,2015,10075,4433,5642,12/1/2019
United States, Snickerdoodle ,330,1320,495,825,9/1/2019
United States, Snickerdoodle ,263,1052,395,658,11/1/2019
United States, Snickerdoodle ,386,1544,579,965,10/1/2019
United States, Snickerdoodle ,2996,11984,4494,7490,10/1/2019
United States, Sugar ,266,798,333,466,12/1/2019
United States, Sugar ,349,1047,436,611,9/1/2019
United States, Sugar ,1265,3795,1581,2214,11/1/2019
United States, Sugar ,808,2424,1010,1414,12/1/2019
United States, Sugar ,2294,6882,2868,4015,10/1/2019
United States, Sugar ,267,801,334,467,10/1/2019
United States, White Chocolate Macadamia Nut ,663,3978,1823,2155,10/1/2019
United States, White Chocolate Macadamia Nut ,736,4416,2024,2392,9/1/2019
United States, White Chocolate Macadamia Nut ,1421,8526,3908,4618,12/1/2019
United States, White Chocolate Macadamia Nut ,2294,13764,6309,7456,10/1/2019
United States, White Chocolate Macadamia Nut ,2574,15444,7079,8366,11/1/2019
United States, White Chocolate Macadamia Nut ,2438,14628,6705,7924,12/1/2019
India, Chocolate Chip ,292,1460,584,876,2/1/2020
India, Chocolate Chip ,2518,12590,5036,7554,6/1/2020
India, Chocolate Chip ,1817,9085,3634,5451,12/1/2020
India, Chocolate Chip ,2363,11815,4726,7089,2/1/2020
India, Chocolate Chip ,1295,6475,2590,3885,10/1/2020
India, Chocolate Chip ,1916,9580,3832,5748,12/1/2020
India, Chocolate Chip ,2852,14260,5704,8556,12/1/2020
India, Chocolate Chip ,2729,13645,5458,8187,12/1/2020
India, Chocolate Chip ,1774,8870,3548,5322,3/1/2020
India, Chocolate Chip ,2009,10045,4018,6027,10/1/2020
India, Chocolate Chip ,4251,21255,8502,12753,1/1/2020
India, Chocolate Chip ,218,1090,436,654,9/1/2020
India, Chocolate Chip ,2074,10370,4148,6222,9/1/2020
India, Chocolate Chip ,2431,12155,4862,7293,12/1/2020
India, Chocolate Chip ,1702,8510,3404,5106,5/1/2020
India, Chocolate Chip ,257,1285,514,771,5/1/2020
India, Chocolate Chip ,1094,5470,2188,3282,6/1/2020
India, Chocolate Chip ,873,4365,1746,2619,1/1/2020
India, Chocolate Chip ,2105,10525,4210,6315,7/1/2020
India, Chocolate Chip ,4026,20130,8052,12078,7/1/2020
India, Chocolate Chip ,2394,11970,4788,7182,8/1/2020
India, Chocolate Chip ,1366,6830,2732,4098,11/1/2020
India, Chocolate Chip ,2632,13160,5264,7896,6/1/2020
India, Chocolate Chip ,1583,7915,3166,4749,6/1/2020
India, Chocolate Chip ,1565,7825,3130,4695,10/1/2020
India, Chocolate Chip ,1249,6245,2498,3747,10/1/2020
India, Chocolate Chip ,2428,12140,4856,7284,3/1/2020
India, Chocolate Chip ,700,3500,1400,2100,11/1/2020
India, Chocolate Chip ,1614,8070,3228,4842,4/1/2020
India, Chocolate Chip ,2559,12795,5118,7677,8/1/2020
India, Chocolate Chip ,723,3615,1446,2169,4/1/2020
India, Fortune Cookie ,2518,2518,504,2014,6/1/2020
India, Fortune Cookie ,2666,2666,533,2133,7/1/2020
India, Fortune Cookie ,1830,1830,366,1464,8/1/2020
India, Fortune Cookie ,1967,1967,393,1574,3/1/2020
India, Fortune Cookie ,488,488,98,390,2/1/2020
India, Fortune Cookie ,708,708,142,566,6/1/2020
India, Fortune Cookie ,3803,3803,761,3042,4/1/2020
India, Fortune Cookie ,2321,2321,464,1857,11/1/2020
India, Fortune Cookie ,2734,2734,547,2187,10/1/2020
India, Fortune Cookie ,1249,1249,250,999,10/1/2020
India, Fortune Cookie ,2228,2228,446,1782,1/1/2020
India, Fortune Cookie ,200,200,40,160,5/1/2020
India, Fortune Cookie ,388,388,78,310,9/1/2020
India, Fortune Cookie ,2300,2300,460,1840,12/1/2020
India, Oatmeal Raisin ,1916,9580,4215,5365,12/1/2020
India, Oatmeal Raisin ,552,2760,1214,1546,8/1/2020
India, Oatmeal Raisin ,1135,5675,2497,3178,6/1/2020
India, Oatmeal Raisin ,1645,8225,3619,4606,5/1/2020
India, Oatmeal Raisin ,1118,5590,2460,3130,11/1/2020
India, Oatmeal Raisin ,708,3540,1558,1982,6/1/2020
India, Oatmeal Raisin ,1269,6345,2792,3553,10/1/2020
India, Oatmeal Raisin ,1631,8155,3588,4567,7/1/2020
India, Oatmeal Raisin ,2240,11200,4928,6272,2/1/2020
India, Oatmeal Raisin ,3521,17605,7746,9859,4/1/2020
India, Oatmeal Raisin ,707,3535,1555,1980,9/1/2020
India, Oatmeal Raisin ,2734,13670,6015,7655,10/1/2020
India, Oatmeal Raisin ,1659,8295,3650,4645,1/1/2020
India, Oatmeal Raisin ,888,4440,1954,2486,3/1/2020
India, Snickerdoodle ,1619,6476,2429,4048,1/1/2020
India, Snickerdoodle ,1445,5780,2168,3613,9/1/2020
India, Snickerdoodle ,743,2972,1115,1858,4/1/2020
India, Snickerdoodle ,1295,5180,1943,3238,10/1/2020
India, Snickerdoodle ,2852,11408,4278,7130,12/1/2020
India, Snickerdoodle ,831,3324,1247,2078,5/1/2020
India, Snickerdoodle ,2844,11376,4266,7110,6/1/2020
India, Snickerdoodle ,1884,7536,2826,4710,8/1/2020
India, Snickerdoodle ,1094,4376,1641,2735,6/1/2020
India, Snickerdoodle ,819,3276,1229,2048,7/1/2020
India, Snickerdoodle ,1937,7748,2906,4843,2/1/2020
India, Snickerdoodle ,2689,10756,4034,6723,11/1/2020
India, Snickerdoodle ,923,3692,1385,2308,3/1/2020
India, Snickerdoodle ,1496,5984,2244,3740,10/1/2020
India, Snickerdoodle ,2300,9200,3450,5750,12/1/2020
India, Sugar ,2001,6003,2501,3502,2/1/2020
India, Sugar ,1817,5451,2271,3180,12/1/2020
India, Sugar ,1326,3978,1658,2321,3/1/2020
India, Sugar ,944,2832,1180,1652,4/1/2020
India, Sugar ,2729,8187,3411,4776,12/1/2020
India, Sugar ,1874,5622,2343,3280,8/1/2020
India, Sugar ,2844,8532,3555,4977,6/1/2020
India, Sugar ,1582,4746,1978,2769,12/1/2020
India, Sugar ,3245,9735,4056,5679,1/1/2020
India, Sugar ,2134,6402,2668,3735,9/1/2020
India, Sugar ,2529,7587,3161,4426,11/1/2020
India, Sugar ,2109,6327,2636,3691,5/1/2020
India, Sugar ,1583,4749,1979,2770,6/1/2020
India, Sugar ,1565,4695,1956,2739,10/1/2020
India, Sugar ,1496,4488,1870,2618,10/1/2020
India, Sugar ,866,2598,1083,1516,7/1/2020
India, White Chocolate Macadamia Nut ,923,5538,2538,3000,8/1/2020
India, White Chocolate Macadamia Nut ,2009,12054,5525,6529,10/1/2020
India, White Chocolate Macadamia Nut ,3851,23106,10590,12516,4/1/2020
India, White Chocolate Macadamia Nut ,2431,14586,6685,7901,12/1/2020
India, White Chocolate Macadamia Nut ,952,5712,2618,3094,2/1/2020
India, White Chocolate Macadamia Nut ,1262,7572,3471,4102,5/1/2020
India, White Chocolate Macadamia Nut ,1135,6810,3121,3689,6/1/2020
India, White Chocolate Macadamia Nut ,1582,9492,4351,5142,12/1/2020
India, White Chocolate Macadamia Nut ,598,3588,1645,1944,3/1/2020
India, White Chocolate Macadamia Nut ,3794,22764,10434,12331,7/1/2020
India, White Chocolate Macadamia Nut ,567,3402,1559,1843,9/1/2020
India, White Chocolate Macadamia Nut ,1269,7614,3490,4124,10/1/2020
India, White Chocolate Macadamia Nut ,384,2304,1056,1248,1/1/2020
India, White Chocolate Macadamia Nut ,1808,10848,4972,5876,11/1/2020
India, White Chocolate Macadamia Nut ,2632,15792,7238,8554,6/1/2020
United Kingdom, Chocolate Chip ,3945,19725,7890,11835,1/1/2020
United Kingdom, Chocolate Chip ,2296,11480,4592,6888,2/1/2020
United Kingdom, Chocolate Chip ,1030,5150,2060,3090,5/1/2020
United Kingdom, Chocolate Chip ,787,3935,1574,2361,6/1/2020
United Kingdom, Chocolate Chip ,2155,10775,4310,6465,12/1/2020
United Kingdom, Chocolate Chip ,918,4590,1836,2754,5/1/2020
United Kingdom, Chocolate Chip ,1055,5275,2110,3165,12/1/2020
United Kingdom, Chocolate Chip ,2435,12175,4870,7305,1/1/2020
United Kingdom, Chocolate Chip ,1901,9505,3802,5703,6/1/2020
United Kingdom, Chocolate Chip ,1287,6435,2574,3861,12/1/2020
United Kingdom, Chocolate Chip ,2988,14940,5976,8964,7/1/2020
United Kingdom, Chocolate Chip ,1303,6515,2606,3909,2/1/2020
United Kingdom, Chocolate Chip ,2385,11925,4770,7155,3/1/2020
United Kingdom, Chocolate Chip ,2620,13100,5240,7860,9/1/2020
United Kingdom, Chocolate Chip ,3801,19005,7602,11403,4/1/2020
United Kingdom, Chocolate Chip ,1496,7480,2992,4488,6/1/2020
United Kingdom, Chocolate Chip ,448,2240,896,1344,6/1/2020
United Kingdom, Chocolate Chip ,2101,10505,4202,6303,8/1/2020
United Kingdom, Chocolate Chip ,1535,7675,3070,4605,9/1/2020
United Kingdom, Chocolate Chip ,1227,6135,2454,3681,10/1/2020
United Kingdom, Chocolate Chip ,1324,6620,2648,3972,11/1/2020
United Kingdom, Chocolate Chip ,1954,9770,3908,5862,3/1/2020
United Kingdom, Chocolate Chip ,2532,12660,5064,7596,4/1/2020
United Kingdom, Chocolate Chip ,2426,12130,4852,7278,7/1/2020
United Kingdom, Chocolate Chip ,2441,12205,4882,7323,10/1/2020
United Kingdom, Chocolate Chip ,1594,7970,3188,4782,11/1/2020
United Kingdom, Chocolate Chip ,2696,13480,5392,8088,8/1/2020
United Kingdom, Chocolate Chip ,1393,6965,2786,4179,10/1/2020
United Kingdom, Chocolate Chip ,1731,8655,3462,5193,10/1/2020
United Kingdom, Chocolate Chip ,293,1465,586,879,12/1/2020
United Kingdom, Fortune Cookie ,1899,1899,380,1519,6/1/2020
United Kingdom, Fortune Cookie ,1376,1376,275,1101,7/1/2020
United Kingdom, Fortune Cookie ,1901,1901,380,1521,6/1/2020
United Kingdom, Fortune Cookie ,544,544,109,435,9/1/2020
United Kingdom, Fortune Cookie ,1287,1287,257,1030,12/1/2020
United Kingdom, Fortune Cookie ,1385,1385,277,1108,1/1/2020
United Kingdom, Fortune Cookie ,2342,2342,468,1874,11/1/2020
United Kingdom, Fortune Cookie ,1976,1976,395,1581,10/1/2020
United Kingdom, Fortune Cookie ,2181,2181,436,1745,10/1/2020
United Kingdom, Fortune Cookie ,2501,2501,500,2001,3/1/2020
United Kingdom, Fortune Cookie ,1562,1562,312,1250,8/1/2020
United Kingdom, Fortune Cookie ,1666,1666,333,1333,5/1/2020
United Kingdom, Fortune Cookie ,2072,2072,414,1658,12/1/2020
United Kingdom, Fortune Cookie ,1773,1773,355,1418,4/1/2020
United Kingdom, Fortune Cookie ,293,293,59,234,2/1/2020
United Kingdom, Oatmeal Raisin ,2750,13750,6050,7700,2/1/2020
United Kingdom, Oatmeal Raisin ,1899,9495,4178,5317,6/1/2020
United Kingdom, Oatmeal Raisin ,941,4705,2070,2635,11/1/2020
United Kingdom, Oatmeal Raisin ,1988,9940,4374,5566,1/1/2020
United Kingdom, Oatmeal Raisin ,2876,14380,6327,8053,9/1/2020
United Kingdom, Oatmeal Raisin ,2072,10360,4558,5802,12/1/2020
United Kingdom, Oatmeal Raisin ,853,4265,1877,2388,12/1/2020
United Kingdom, Oatmeal Raisin ,1433,7165,3153,4012,5/1/2020
United Kingdom, Oatmeal Raisin ,3422,17110,7528,9582,7/1/2020
United Kingdom, Oatmeal Raisin ,1190,5950,2618,3332,6/1/2020
United Kingdom, Oatmeal Raisin ,1393,6965,3065,3900,10/1/2020
United Kingdom, Oatmeal Raisin ,2475,12375,5445,6930,8/1/2020
United Kingdom, Oatmeal Raisin ,1731,8655,3808,4847,10/1/2020
United Kingdom, Oatmeal Raisin ,2475,12375,5445,6930,3/1/2020
United Kingdom, Snickerdoodle ,2178,8712,3267,5445,6/1/2020
United Kingdom, Snickerdoodle ,2671,10684,4007,6678,9/1/2020
United Kingdom, Snickerdoodle ,2155,8620,3233,5388,12/1/2020
United Kingdom, Snickerdoodle ,4244,16976,6366,10610,4/1/2020
United Kingdom, Snickerdoodle ,1865,7460,2798,4663,2/1/2020
United Kingdom, Snickerdoodle ,1563,6252,2345,3908,5/1/2020
United Kingdom, Snickerdoodle ,2487,9948,3731,6218,12/1/2020
United Kingdom, Snickerdoodle ,448,1792,672,1120,6/1/2020
United Kingdom, Snickerdoodle ,2181,8724,3272,5453,10/1/2020
United Kingdom, Snickerdoodle ,490,1960,735,1225,11/1/2020
United Kingdom, Snickerdoodle ,2441,9764,3662,6103,10/1/2020
United Kingdom, Snickerdoodle ,2522,10088,3783,6305,1/1/2020
United Kingdom, Snickerdoodle ,1790,7160,2685,4475,3/1/2020
United Kingdom, Snickerdoodle ,1174,4696,1761,2935,8/1/2020
United Kingdom, Sugar ,2178,6534,2723,3812,6/1/2020
United Kingdom, Sugar ,2151,6453,2689,3764,9/1/2020
United Kingdom, Sugar ,787,2361,984,1377,6/1/2020
United Kingdom, Sugar ,1744,5232,2180,3052,11/1/2020
United Kingdom, Sugar ,866,2598,1083,1516,5/1/2020
United Kingdom, Sugar ,2177,6531,2721,3810,10/1/2020
United Kingdom, Sugar ,2487,7461,3109,4352,12/1/2020
United Kingdom, Sugar ,1739,5217,2174,3043,4/1/2020
United Kingdom, Sugar ,959,2877,1199,1678,2/1/2020
United Kingdom, Sugar ,575,1725,719,1006,4/1/2020
United Kingdom, Sugar ,381,1143,476,667,8/1/2020
United Kingdom, Sugar ,1227,3681,1534,2147,10/1/2020
United Kingdom, Sugar ,1734,5202,2168,3035,1/1/2020
United Kingdom, Sugar ,3875,11625,4844,6781,7/1/2020
United Kingdom, Sugar ,1491,4473,1864,2609,3/1/2020
United Kingdom, Sugar ,293,879,366,513,12/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1804,10824,4961,5863,2/1/2020
United Kingdom, White Chocolate Macadamia Nut ,639,3834,1757,2077,11/1/2020
United Kingdom, White Chocolate Macadamia Nut ,3864,23184,10626,12558,4/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1055,6330,2901,3429,12/1/2020
United Kingdom, White Chocolate Macadamia Nut ,2177,13062,5987,7075,10/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1579,9474,4342,5132,8/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1496,8976,4114,4862,6/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1659,9954,4562,5392,7/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1976,11856,5434,6422,10/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1967,11802,5409,6393,3/1/2020
United Kingdom, White Chocolate Macadamia Nut ,639,3834,1757,2077,7/1/2020
United Kingdom, White Chocolate Macadamia Nut ,853,5118,2346,2772,12/1/2020
United Kingdom, White Chocolate Macadamia Nut ,3998,23988,10995,12994,1/1/2020
United Kingdom, White Chocolate Macadamia Nut ,1190,7140,3273,3868,6/1/2020
United Kingdom, White Chocolate Macadamia Nut ,2826,16956,7772,9185,5/1/2020
United Kingdom, White Chocolate Macadamia Nut ,663,3978,1823,2155,9/1/2020
Philippines, Chocolate Chip ,1006,5030,2012,3018,6/1/2020
Philippines, Chocolate Chip ,367,1835,734,1101,7/1/2020
Philippines, Chocolate Chip ,1513,7565,3026,4539,12/1/2020
Philippines, Chocolate Chip ,747,3735,1494,2241,9/1/2020
Philippines, Chocolate Chip ,1728,8640,3456,5184,5/1/2020
Philippines, Chocolate Chip ,689,3445,1378,2067,6/1/2020
Philippines, Chocolate Chip ,1570,7850,3140,4710,6/1/2020
Philippines, Chocolate Chip ,1706,8530,3412,5118,12/1/2020
Philippines, Chocolate Chip ,795,3975,1590,2385,3/1/2020
Philippines, Chocolate Chip ,1415,7075,2830,4245,4/1/2020
Philippines, Chocolate Chip ,1372,6860,2744,4116,1/1/2020
Philippines, Chocolate Chip ,1743,8715,3486,5229,8/1/2020
Philippines, Chocolate Chip ,3513,17565,7026,10539,7/1/2020
Philippines, Chocolate Chip ,1259,6295,2518,3777,4/1/2020
Philippines, Chocolate Chip ,1095,5475,2190,3285,5/1/2020
Philippines, Chocolate Chip ,1366,6830,2732,4098,6/1/2020
Philippines, Chocolate Chip ,1598,7990,3196,4794,8/1/2020
Philippines, Chocolate Chip ,1934,9670,3868,5802,9/1/2020
Philippines, Chocolate Chip ,360,1800,720,1080,10/1/2020
Philippines, Chocolate Chip ,241,1205,482,723,10/1/2020
Philippines, Chocolate Chip ,1359,6795,2718,4077,11/1/2020
Philippines, Chocolate Chip ,1531,7655,3062,4593,12/1/2020
Philippines, Chocolate Chip ,807,4035,1614,2421,1/1/2020
Philippines, Chocolate Chip ,2708,13540,5416,8124,2/1/2020
Philippines, Chocolate Chip ,357,1785,714,1071,11/1/2020
Philippines, Chocolate Chip ,1013,5065,2026,3039,12/1/2020
Philippines, Chocolate Chip ,278,1390,556,834,2/1/2020
Philippines, Chocolate Chip ,1158,5790,2316,3474,3/1/2020
Philippines, Chocolate Chip ,1085,5425,2170,3255,10/1/2020
Philippines, Chocolate Chip ,1175,5875,2350,3525,10/1/2020
Philippines, Fortune Cookie ,921,921,184,737,3/1/2020
